date,hour,solar,hydro,wind_onshore,wind_offshore,nuclear,natural_gas,coal,brown_coal,biomass,other_conventional,other_renewables,pumped_storage,power_consumption_germany
20220101,00,0.0,1469.25,25487.75,5975.5,3304.75,2734.5,2039.25,3562.0,4332.0,1454.75,151.75,471.25,43915.5
20220101,01,0.0,1521.25,24280.5,5775.25,3348.0,2626.75,2049.75,3546.75,4325.0,1453.5,152.0,521.0,41535.75
20220101,02,0.0,1471.5,23114.0,5548.0,3344.25,2623.5,2033.25,3495.0,4329.0,1445.5,152.25,466.25,40480.75
20220101,03,0.0,1455.75,21998.25,5382.75,3342.5,2645.0,2023.75,3504.75,4335.5,1441.75,153.0,190.5,39564.0
20220101,04,0.0,1500.75,20495.0,5586.5,3342.5,2650.25,2013.25,3537.5,4337.5,1435.25,153.0,113.5,39338.25
20220101,05,0.0,1481.75,19494.5,4531.25,3347.25,2637.75,2014.0,3767.0,4343.75,1441.5,153.0,82.25,38826.5
20220101,06,0.0,1442.25,19175.5,4514.75,3343.25,2637.5,2031.25,3876.25,4381.25,1444.5,153.0,77.0,38413.0
20220101,07,0.5,1444.0,17956.0,4850.0,3329.25,2645.75,2361.5,3869.5,4436.0,1453.0,153.0,145.0,39086.75
20220101,08,257.75,1461.75,16635.75,4172.0,3343.5,2777.5,2448.75,3981.75,4528.5,1451.25,153.0,148.5,40305.0
20220101,09,1977.0,1458.5,15637.75,4214.0,3330.75,2701.5,2461.5,4209.5,4558.0,1444.75,152.25,141.25,42511.0
20220101,10,4407.75,1458.75,13961.75,4051.0,3339.25,2825.25,2444.0,4374.25,4557.0,1442.5,148.0,263.0,44382.5
20220101,11,6639.5,1472.5,11899.25,4265.0,3343.25,2831.5,2527.0,4423.75,4527.0,1438.25,146.0,177.75,46732.25
20220101,12,7744.0,1454.25,10339.25,4995.0,3348.0,2829.25,2722.5,4503.5,4489.75,1439.5,143.0,866.75,47314.75
20220101,13,6793.0,1465.5,8921.5,5527.5,3344.0,2736.75,2748.75,4239.75,4464.25,1440.5,143.0,1243.0,46391.75
20220101,14,4620.75,1501.25,8312.0,5889.25,3307.5,2839.0,2930.0,4907.25,4478.5,1436.0,143.0,2176.0,45729.25
20220101,15,1844.75,1501.25,8732.0,6038.25,3344.25,2850.25,3328.25,6367.5,4521.0,1437.25,143.75,1983.75,45663.0
20220101,16,150.5,1441.0,10556.75,6106.5,3346.0,2828.25,3810.5,7041.5,4603.0,1447.25,144.0,2984.25,47864.0
20220101,17,0.0,1441.25,12792.5,6080.0,3349.5,2820.25,4024.25,7377.75,4626.25,1446.5,145.5,3590.0,51405.0
20220101,18,0.0,1434.5,14899.75,6048.5,3351.5,2811.5,4177.25,7576.0,4647.0,1453.75,147.5,4107.25,52287.75
20220101,19,0.0,1427.5,16908.5,6086.0,3350.75,2847.75,3973.25,7200.5,4614.25,1454.75,148.0,3346.5,51321.25
20220101,20,0.0,1442.5,17953.5,6232.5,3352.5,2851.75,3575.5,6287.0,4523.25,1455.75,150.25,2196.0,49466.0
20220101,21,0.0,1440.0,18360.0,6473.25,3353.0,2806.0,3131.75,5657.25,4446.0,1456.75,152.0,1356.25,48009.25
20220101,22,0.0,1503.5,18517.5,6743.25,3357.5,2798.0,2623.75,5691.0,4405.0,1466.25,152.75,1581.5,47437.25
20220101,23,0.0,1437.5,18794.5,6932.75,3354.75,2742.0,2437.5,4544.5,4374.0,1463.75,153.0,745.75,44832.0
20220102,00,0.0,1422.25,18872.0,6943.5,3318.25,2719.5,2268.0,3648.0,4321.0,1460.0,154.0,138.75,42674.25
20220102,01,0.0,1452.5,18751.0,6835.0,3183.25,2671.25,2211.5,3666.25,4322.5,1451.25,153.75,245.5,41513.25
20220102,02,0.0,1501.5,17954.75,6783.75,3269.0,2674.75,2192.25,3520.5,4330.5,1450.5,153.25,256.75,40795.5
20220102,03,0.0,1508.5,18818.75,6274.25,3323.25,2669.25,2195.0,3457.5,4329.75,1448.0,153.25,251.25,40566.5
20220102,04,0.0,1512.25,17955.5,6037.25,3340.25,2674.5,2215.5,3459.0,4339.25,1440.0,152.75,218.5,40742.5
20220102,05,0.0,1504.75,18006.25,6314.0,3336.25,2678.25,2207.0,3468.25,4346.75,1447.0,152.25,218.5,40775.5
20220102,06,0.0,1432.0,18818.0,6000.5,3330.75,2691.25,2225.75,3451.25,4395.25,1438.5,152.0,236.5,40405.75
20220102,07,0.5,1396.75,20489.5,5377.0,3362.0,2715.5,2234.25,3469.25,4445.25,1444.0,152.0,810.5,42254.25
20220102,08,377.25,1403.25,22411.0,5620.75,3345.0,2780.25,2071.75,3616.0,4523.5,1442.75,152.0,1494.25,45418.25
20220102,09,2117.25,1403.75,23456.0,5098.5,3358.75,2690.0,2116.5,3610.5,4565.75,1438.0,151.0,1428.5,48344.0
